epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_027,20.361398935317993,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.6717925955998597,0.6886185925282363,0.6362254348020664,0.7142653694306532,0.4181794843796084,0.854262144821265,0.7084977641595954,0.8446660247278128,0.7473684210526316,0.5144927536231884,0.6094420600858369
2,mobilenet_arch_evo_027,20.569395303726196,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.1841419497435244,0.9509991311902694,0.9162906748591432,0.9529357238661043,0.2651085186456044,0.922089825847846,0.8284047292396651,0.9199187833847813,0.7230769230769231,0.6811594202898551,0.7014925373134329
3,mobilenet_arch_evo_027,20.378713607788086,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.10765039409687993,0.9728931364031277,0.9518662100888985,0.9734178899747222,0.26725467094169003,0.9202566452795601,0.8259697623736026,0.9191664400401343,0.675,0.782608695652174,0.7248322147651006
4,mobilenet_arch_evo_027,20.680763006210327,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.09242452327113479,0.9772371850564726,0.959783604046386,0.9776237893819051,0.2396236821679581,0.9275893675527039,0.8417597177271966,0.927919927605083,0.7012987012987013,0.782608695652174,0.7397260273972602
5,mobilenet_arch_evo_027,20.529128551483154,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.07635961415959792,0.9817549956559514,0.9673268320346605,0.9819861644873257,0.20450857501145364,0.9156736938588451,0.8182015926023957,0.9167981869360929,0.631578947368421,0.8695652173913043,0.7317073170731707
6,mobilenet_arch_evo_027,20.438990354537964,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.047584504604689146,0.9871416159860991,0.9763123994199294,0.9872615972603901,0.26905948222976234,0.9376718606782768,0.8631019001656873,0.9374578641869058,0.7890625,0.7318840579710145,0.7593984962406015
7,mobilenet_arch_evo_027,20.900304794311523,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04121176223679212,0.9894005212858384,0.9815216632769105,0.9895045629957214,0.295229278549718,0.916590284142988,0.7960395193365939,0.9112953515745924,0.6098654708520179,0.9855072463768116,0.7534626038781164
8,mobilenet_arch_evo_027,20.632591724395752,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04291189199561928,0.988879235447437,0.9797774482423242,0.9889721993231153,0.1706762084340397,0.9385884509624198,0.8557170038892892,0.9349303612403771,0.7647058823529411,0.8478260869565217,0.8041237113402062
9,mobilenet_arch_evo_027,21.02919840812683,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04306096914883777,0.9890529973935708,0.980027611452488,0.9891294208284339,0.18760791871178142,0.9321723189734189,0.8457608702411972,0.9318494832803947,0.7017543859649122,0.8695652173913043,0.7766990291262136
10,mobilenet_arch_evo_027,21.20608639717102,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04111397493247114,0.9909643788010426,0.9832047185333536,0.9909982673459825,0.13725099801201948,0.9468377635197067,0.8798749738781984,0.9432448608672236,0.8181818181818182,0.9130434782608695,0.863013698630137
