epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_final_02,20.57096838951111,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.46190378933653015,0.8387489139878367,0.7826976081783152,0.8495670741482079,0.5133715480101644,0.769019248395967,0.5104990379695487,0.7221773578508975,0.6041666666666666,0.42028985507246375,0.49572649572649574
2,mobilenet_arch_final_02,21.13102626800537,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.17878164425945406,0.958992180712424,0.9304162392558389,0.9603797486943506,0.28858092326182605,0.9055912007332723,0.8101868049300378,0.9105245344516193,0.6790123456790124,0.7971014492753623,0.7333333333333333
3,mobilenet_arch_final_02,20.561068534851074,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.11197547856669753,0.9761946133796698,0.9582205908530945,0.9766307823412134,0.21739502763332957,0.925756186984418,0.8500362924627065,0.9286704908850549,0.7841726618705036,0.7898550724637681,0.7870036101083032
4,mobilenet_arch_final_02,20.517645597457886,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.08963915982731108,0.9824500434404866,0.9673049859417868,0.9826326323295325,0.2638923708011424,0.9120073327222732,0.8199859296435243,0.9149616787021412,0.6827956989247311,0.9202898550724637,0.7839506172839507
5,mobilenet_arch_final_02,20.63099765777588,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.06717580213663787,0.9847089487402259,0.9722448134525652,0.9848661537931682,0.254964462719605,0.9074243813015582,0.8005653498079633,0.907935831017717,0.6597938144329897,0.927536231884058,0.7710843373493976
6,mobilenet_arch_final_02,20.728846311569214,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.056114373888195755,0.9895742832319722,0.9807341721943703,0.9896256920792719,0.20912173969498696,0.9349220898258478,0.8720034935855685,0.937060051254822,0.856,0.7753623188405797,0.8136882129277566
7,mobilenet_arch_final_02,20.849134922027588,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.045961094196791966,0.9906168549087749,0.9830278649548914,0.9906559232578896,0.24925474115023363,0.9019248395967002,0.7934718615540884,0.9050204776229885,0.6402116402116402,0.8768115942028986,0.7400611620795107
8,mobilenet_arch_final_02,20.770180702209473,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.039879227713799086,0.9899218071242398,0.9823365900549,0.9899943968826457,0.230249884387258,0.9202566452795601,0.8347556881161432,0.9225689015681678,0.6939890710382514,0.9202898550724637,0.7912772585669782
9,mobilenet_arch_final_02,20.582474946975708,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.04006593930935544,0.9920069504778454,0.9848109898315913,0.9920471985247356,0.3322491550819793,0.8771769019248395,0.739086964831095,0.8804740783818921,0.5668202764976958,0.8913043478260869,0.6929577464788732
10,mobilenet_arch_final_02,20.677746772766113,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.04476663514002381,0.9909643788010426,0.9835401897059911,0.9910110055719504,0.4018181003254559,0.842346471127406,0.6534271798039638,0.8369741264093049,0.4740740740740741,0.927536231884058,0.6274509803921569
11,mobilenet_arch_final_02,20.70971441268921,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.027964312695193352,0.9940920938314509,0.9894303905605797,0.9941098929768445,0.2743047338207854,0.9055912007332723,0.8007595635587199,0.9068305598047556,0.6372549019607843,0.9420289855072463,0.7602339181286549
12,mobilenet_arch_final_02,20.528603315353394,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.026128677889335736,0.9947871416159861,0.9911762109624453,0.9948077384588014,0.42906546559249664,0.8735105407882676,0.7301926045665482,0.8712065984671947,0.5541666666666667,0.9637681159420289,0.7037037037037037
13,mobilenet_arch_final_02,20.51924777030945,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.02067498455307957,0.996524761077324,0.9936505039038026,0.9965330042287013,0.22942413287928737,0.922089825847846,0.8394139231649165,0.9244727880281398,0.7167630057803468,0.8985507246376812,0.797427652733119
14,mobilenet_arch_final_02,20.841289043426514,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.016655305461257333,0.9975673327541269,0.99536143856166,0.9975716367474131,0.24871363817252334,0.9092575618698442,0.802493051984158,0.9098118249779226,0.6482412060301508,0.9347826086956522,0.7655786350148368
15,mobilenet_arch_final_02,20.780840158462524,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.017507439239402112,0.9963509991311903,0.9933671612985573,0.9963544337331222,0.23557396140205653,0.923006416131989,0.8451150325944808,0.9261506253876548,0.7349397590361446,0.8840579710144928,0.8026315789473685
16,mobilenet_arch_final_02,20.355659246444702,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.018552899376758667,0.9966985230234578,0.9930864557920509,0.9967075216595804,0.2894738785697166,0.9055912007332723,0.797248541907261,0.9060409321617702,0.6359223300970874,0.9492753623188406,0.7616279069767442
17,mobilenet_arch_final_02,20.78391933441162,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.016517237552257983,0.998262380538662,0.9965143049098164,0.9982646095969436,0.20848962250076009,0.9303391384051329,0.8583617807993165,0.9328204519863422,0.7469879518072289,0.8985507246376812,0.8157894736842105
18,mobilenet_arch_final_02,20.841878652572632,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.0111156719452746,0.998262380538662,0.9969940737441805,0.9982639655803115,0.24272994902309314,0.918423464711274,0.8285202957752192,0.920342027318596,0.6881720430107527,0.927536231884058,0.7901234567901234
19,mobilenet_arch_final_02,20.826497077941895,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.010754289099304159,0.998262380538662,0.9968989584789808,0.9982648232650999,0.24441413859999803,0.9156736938588451,0.8213645333590541,0.9174268034215222,0.6772486772486772,0.927536231884058,0.7828746177370031
20,mobilenet_arch_final_02,20.713362216949463,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.01015098678800953,0.9984361424847958,0.9970714953851523,0.9984395254269968,0.2321064779099579,0.9202566452795601,0.8332129421419721,0.9223061427439093,0.6918918918918919,0.927536231884058,0.7925696594427245
21,mobilenet_arch_final_02,20.584410190582275,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.012304911373602267,0.9979148566463945,0.9961890744747399,0.9979164794516979,0.22282744267670307,0.918423464711274,0.8294146939592613,0.9205829488518217,0.6844919786096256,0.927536231884058,0.7876923076923077
22,mobilenet_arch_final_02,20.969960927963257,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.013288607449148605,0.9975673327541269,0.9955343007539732,0.9975683497627151,0.2613345258019858,0.9065077910174152,0.8033350874997468,0.9088629975704483,0.64,0.927536231884058,0.757396449704142
23,mobilenet_arch_final_02,20.537695169448853,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,1076260,1076260,149252,0.011069168338833698,0.9975673327541269,0.9954721372180043,0.9975711477218738,0.2593929140148198,0.9083409715857012,0.8059838226333543,0.9104691696927644,0.649746192893401,0.927536231884058,0.764179104477612
