frame_idx,timestamp_s,frame_read_ms,preprocess_ms,model_ms,neural_trigger_ms,cv_trigger_ms,postprocess_ms,total_ms,raw_stage_id,raw_stage_name,stable_stage_id,stable_stage_name,confidence,p_active_brazing,neural_trigger_on,cv_score,cv_trigger_on,hold_signal_on
0,0.0,44.78408800014222,14.247908000015741,45.10364700036007,0.008659999821247766,0.0036229998841008637,0.03421400015213294,108.81429299979573,0,inactive_preparation,0,inactive_preparation,0.9999933242797852,2.672897494448989e-07,False,,False,False
1,0.03336666666666667,6.711633000122674,8.444120000149269,24.614580000161368,0.005182999757380458,0.0013310000213095918,0.024789999770291615,39.883133999865095,0,inactive_preparation,0,inactive_preparation,0.9999769926071167,1.1039438732041162e-06,False,,False,False
2,0.06673333333333334,16.14767799992478,7.673278999845934,15.706111999861605,0.0025750000531843398,0.0009499999578110874,0.019694000002346,39.64562600003774,0,inactive_preparation,0,inactive_preparation,0.9999866485595703,4.762315768402914e-07,False,,False,False
3,0.10010000000000001,3.508624999994936,8.28629399984493,25.917499999650317,0.002573000074335141,0.001035999957821332,0.019871999938914087,37.810655999692244,0,inactive_preparation,0,inactive_preparation,0.9999896287918091,2.5372412437718594e-07,False,,False,False
4,0.13346666666666668,4.692318000252271,10.392802000296797,25.92588400011664,0.002376999873376917,0.0013509998098015785,0.02134099986506044,41.14015400000426,0,inactive_preparation,0,inactive_preparation,0.9999889135360718,3.3787409847718664e-07,False,,False,False
5,0.16683333333333333,4.017797999949835,8.28139800023564,27.22602200037727,0.002010000116570154,0.0011710003491316456,0.02034999988609343,39.62634299978163,0,inactive_preparation,0,inactive_preparation,0.9999501705169678,1.2912490774397156e-06,False,,False,False
6,0.20020000000000002,1.7800440000428353,8.324819000335992,29.070811000110552,0.00285299984170706,0.0009959999260900076,0.03687900016302592,39.305484000124125,0,inactive_preparation,0,inactive_preparation,0.9999793767929077,1.0221936008747434e-06,False,,False,False
7,0.23356666666666667,3.7003440002081334,8.404227000028186,31.6228830001819,0.002370999936829321,0.0009229997885995544,0.023291000161407283,43.83804899998722,0,inactive_preparation,0,inactive_preparation,0.9999904632568359,4.3287172957207076e-07,False,,False,False
8,0.26693333333333336,5.417244999989634,6.5021469999919645,33.48544399977982,0.002982000296469778,0.0012030000107188243,0.02147900022464455,45.50904300003822,0,inactive_preparation,0,inactive_preparation,0.9999775886535645,5.429130283118866e-07,False,,False,False
9,0.3003,5.330277000211936,10.503603999950428,24.192948999825603,0.002133000180037925,0.0009380000847158954,0.016592000065429602,40.12544399984108,0,inactive_preparation,0,inactive_preparation,0.9999927282333374,3.434279847169819e-07,False,,False,False
10,0.33366666666666667,1.8067359997075982,4.4768120001208445,19.2293680001967,0.0027520000003278255,0.0013409999155555852,0.020305999896663707,25.612467999962973,0,inactive_preparation,0,inactive_preparation,0.999992847442627,1.9247779903253104e-07,False,,False,False
11,0.3670333333333333,6.6946889996870595,8.57615499990061,22.274547000051825,0.002328999926248798,0.0013260000741865952,0.018993999674421502,37.646366999979364,0,inactive_preparation,0,inactive_preparation,0.9999845027923584,5.41825329491985e-07,False,,False,False
12,0.40040000000000003,3.9642530000492116,8.711148999736906,27.987849000055576,0.0025690001166367438,0.0008570000318286475,0.01597199980096775,40.75377200024377,0,inactive_preparation,0,inactive_preparation,0.9999673366546631,1.5946470739436336e-06,False,,False,False
13,0.4337666666666667,1.8064959999719576,6.636016999891581,18.715264000093157,0.0022269996406976134,0.001312999756919453,0.02101499967466225,27.260719999958383,0,inactive_preparation,0,inactive_preparation,0.9999440908432007,2.254420905956067e-06,False,,False,False
14,0.46713333333333334,3.7891669999225996,8.421723000083148,24.406659999840485,0.0021109999579493888,0.0008540000635548495,0.01912200013975962,36.717149000196514,0,inactive_preparation,0,inactive_preparation,0.9999047517776489,5.39106486030505e-06,False,,False,False
15,0.5005000000000001,2.968369999962306,8.720413999981247,26.766758000121627,0.0025069998628168833,0.0010819999261002522,0.02010099979088409,38.55572900010884,0,inactive_preparation,0,inactive_preparation,0.9999176263809204,4.2382575884403195e-06,False,,False,False
16,0.5338666666666667,1.7232720001629787,7.642967000265344,25.85794500009797,0.002229000074294163,0.0013550002222473267,0.019474000055197394,35.322962000009284,0,inactive_preparation,0,inactive_preparation,0.9998663663864136,1.541271740279626e-05,False,,False,False
17,0.5672333333333334,4.0864679999685904,8.480923999741208,23.271198000202276,0.002214000232925173,0.0015169998732744716,0.021010999716963852,35.94260399995619,0,inactive_preparation,0,inactive_preparation,0.9999743700027466,1.7015389630614663e-06,False,,False,False
18,0.6006,3.7023129998488002,8.494277999943733,23.389621999740484,0.002273999598401133,0.0013079998097964562,0.020257999949535588,35.689431999799126,0,inactive_preparation,0,inactive_preparation,0.9999464750289917,2.2994718165136874e-06,False,,False,False
19,0.6339666666666667,3.4955060000356752,8.726570000362699,24.927760000082344,0.0026729999262897763,0.001424999936716631,0.031459000183531316,37.263698000060685,0,inactive_preparation,0,inactive_preparation,0.9998160004615784,6.964423846511636e-06,False,,False,False
20,0.6673333333333333,1.8328139999539417,10.90972200017859,25.469460999829607,0.002259000211779494,0.000925000222196104,0.020756999674631516,38.311048000196024,0,inactive_preparation,0,inactive_preparation,0.9999141693115234,3.0497676561935805e-06,False,,False,False
