frame_idx,timestamp_s,frame_read_ms,preprocess_ms,model_ms,neural_trigger_ms,cv_trigger_ms,postprocess_ms,total_ms,raw_stage_id,raw_stage_name,stable_stage_id,stable_stage_name,confidence,p_active_brazing,neural_trigger_on,cv_score,cv_trigger_on,hold_signal_on
0,0.0,52.677161000247,72.57627199942362,278.0289490001451,0.0064089999796124175,0.003429999196669087,0.026495999918552116,405.7189479999579,0,inactive_preparation,0,inactive_preparation,0.9963169097900391,8.898394298739731e-06,False,,False,False
1,0.03336666666666667,3.4140540001317277,3.7575930000457447,32.89323399985733,0.003481999556242954,0.011195000297448132,0.01963599970622454,40.1670440005546,0,inactive_preparation,0,inactive_preparation,0.9946810603141785,1.2614967999979854e-05,False,,False,False
2,0.06673333333333334,1.8581160002213437,3.6597419993995572,31.771459999617946,0.001761999556038063,0.0008300003173644654,0.014337000720843207,37.370331000602164,0,inactive_preparation,0,inactive_preparation,0.9955161213874817,8.284933755930979e-06,False,,False,False
3,0.10010000000000001,1.8484029997125617,3.5823560001517762,32.669144999999844,0.0020229999790899456,0.0011740003174054436,0.014751999515283387,38.178308000169636,0,inactive_preparation,0,inactive_preparation,0.9978427886962891,6.931931693543447e-06,False,,False,False
4,0.13346666666666668,1.9482490006339503,3.666929000246455,31.569977999424736,0.0016169997252291068,0.0008609995347796939,0.014793000445934013,37.2685359998286,0,inactive_preparation,0,inactive_preparation,0.9979208111763,7.620631549798418e-06,False,,False,False
5,0.16683333333333333,1.748237000356312,3.6312799993538647,31.63892999964446,0.0013959997886558995,0.0008670003808219917,0.014367999938258436,37.09664799953316,0,inactive_preparation,0,inactive_preparation,0.9979013204574585,7.73888677940704e-06,False,,False,False
6,0.20020000000000002,5.341164000128629,3.6199730002408614,30.300078999971447,0.0013970002328278497,0.0011769998309318908,0.01569500000186963,39.34365599980083,0,inactive_preparation,0,inactive_preparation,0.9982116222381592,1.1959708899667021e-05,False,,False,False
7,0.23356666666666667,1.7736939998940215,3.6673630002042046,40.597807000267494,0.002440000571368728,0.0017369993656757288,0.020634000065911096,46.14398000012443,0,inactive_preparation,0,inactive_preparation,0.9989898800849915,1.3335102266864851e-05,False,,False,False
8,0.26693333333333336,5.339747000107309,5.043491999458638,58.73690899989015,0.0022730000637238845,0.0012569998943945393,0.022731000171916094,69.23934499991447,0,inactive_preparation,0,inactive_preparation,0.9978485107421875,3.287972867838107e-05,False,,False,False
9,0.3003,3.809311999248166,4.446407000614272,50.78707499978918,0.002279999534948729,0.0011100000847363845,0.019768000129261054,59.14298100015003,0,inactive_preparation,0,inactive_preparation,0.9986118078231812,2.4224018488894217e-05,False,,False,False
